content_id,platform,publish_date,status,owner,format,title,hook,voiceover_or_body,shots_or_outline,cta,compliance_label,primary_metric,utm_url
XHS-01,xiaohongshu,2026-06-01,draft_ready,内容策划,图文笔记,我终于知道，该怎么整理爸爸留下的声音了,很多人以为第一步是上传录音，其实第一步是写下“他怎么叫你”。,先写关系和称呼 / 再上传 30 秒最清晰的声音 / 补充 3 条最日常的回忆 / 最后再做声音画像,先写关系和称呼 | 再上传 30 秒最清晰的声音 | 补充 3 条最日常的回忆 | 最后再做声音画像,收藏这份声音留存清单,本内容包含 AI 生成或 AI 辅助创作，请以页面说明为准。,收藏率 / 搜索进站 / 私信咨询,https://eterna-niannian.cloud?utm_source=xiaohongshu&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=XHS-01
D01,douyin,2026-06-02,draft_ready,短视频剪辑,35 秒短视频,如果还有一次机会，你最想听 TA 说什么？,如果还有一次机会，你最想听 TA 说什么？,我们不能替代任何人，但可以把那些熟悉的称呼、语气和回忆，整理成一份会继续被珍藏的数字纪念册。,深色背景，一句想念浮现 | 上传一段亲人语音 | 声音画像进度条点亮 | 生成一段可回听的问候,进入念念，先建一位亲人档案,AI 演示内容，需获得素材授权,完播率 / 点击官网 / 留资,https://eterna-niannian.cloud?utm_source=douyin&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=D01
XHS-02,xiaohongshu,2026-06-03,draft_ready,内容策划,图文笔记,想做亲人的数字纪念册，第一步不是上传照片,照片能留下样子，但故事才能留下这个人。,先讲一段最具体的日常 / 用旧照片补面容线索 / 用语音补说话方式 / 用视频补神态动作,先讲一段最具体的日常 | 用旧照片补面容线索 | 用语音补说话方式 | 用视频补神态动作,去念念官网创建第一位亲人档案,本内容包含 AI 生成或 AI 辅助创作，请以页面说明为准。,收藏率 / 搜索进站 / 私信咨询,https://eterna-niannian.cloud?utm_source=xiaohongshu&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=XHS-02
D02,douyin,2026-06-04,draft_ready,短视频剪辑,28 秒短视频,只剩 30 秒录音，还能留下什么？,只剩 30 秒录音，还能留下什么？,从 30 秒开始，先留下 TA 的称呼、口气和最常说的话。材料越多，数字家人的轮廓越完整。,录音波形出现 | 自动提取口头禅 | 人格卡生成 | 语音陪伴记录入库,从一段录音开始声音留存,AI 配音 / 产品演示,完播率 / 点击官网 / 留资,https://eterna-niannian.cloud?utm_source=douyin&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=D02
XHS-03,xiaohongshu,2026-06-05,draft_ready,内容策划,便签图文,30 秒讲完一个人：数字家人素材采集脚本,如果不知道怎么开始，就照着这段话说。,TA 是我的谁 / TA 平时怎么叫我 / TA 最常说的一句话 / 我最想再听 TA 说什么,TA 是我的谁 | TA 平时怎么叫我 | TA 最常说的一句话 | 我最想再听 TA 说什么,照着脚本录一段，系统会自动整理人格卡,本内容包含 AI 生成或 AI 辅助创作，请以页面说明为准。,收藏率 / 搜索进站 / 私信咨询,https://eterna-niannian.cloud?utm_source=xiaohongshu&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=XHS-03
D03,douyin,2026-06-06,draft_ready,短视频剪辑,40 秒短视频,数字人不是复活，是把关系里的回应感保存下来。,数字人不是复活，是把关系里的回应感保存下来。,念念会把文字、语音、照片和视频整理到同一个控制台里，让你知道这个数字家人搭建到了哪一步。,品牌虚拟讲解员出现 | 展示人格卡、声音画像、视觉画像 | 展示主动问候设置 | 展示回看历史,看看数字人控制台,AI 数字人讲解,完播率 / 点击官网 / 留资,https://eterna-niannian.cloud?utm_source=douyin&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=D03
XHS-04,xiaohongshu,2026-06-07,draft_ready,内容策划,长图文,我们做数字人，但绝不说“复活亲人”,技术越像人，边界越要说清楚。,必须授权 / 必须标识 AI 内容 / 必须保护隐私 / 必须承认这不是本人,必须授权 | 必须标识 AI 内容 | 必须保护隐私 | 必须承认这不是本人,了解念念的授权和隐私保护,本内容包含 AI 生成或 AI 辅助创作，请以页面说明为准。,收藏率 / 搜索进站 / 私信咨询,https://eterna-niannian.cloud?utm_source=xiaohongshu&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=XHS-04
D04,douyin,2026-06-08,draft_ready,短视频剪辑,45 秒短视频,生日那天，如果能收到一句熟悉的祝福。,生日那天，如果能收到一句熟悉的祝福。,主动联系不是打扰，而是在重要的日子，把你最想听到的那句关心轻轻送回来。,生日日期被设置 | 主动联系规则保存 | 生成语音问候 | 历史记录可回看,设置一次节日或生日问候,AI 生成语音需标识,完播率 / 点击官网 / 留资,https://eterna-niannian.cloud?utm_source=douyin&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=D04
DH-01,digital_human,2026-06-16,script_ready,数字人运营,数字人讲解短视频,60 秒讲清数字人控制台,60 秒讲清数字人控制台，用 60 秒讲清楚。,大家好，我是念念引导员。今天用一段很短的演示讲清楚：60 秒讲清数字人控制台。念念会在获得授权后，把语音、照片、视频和回忆整理成数字家人控制台。请记住，这不是复活，也不是替代本人，而是让值得被保存的爱继续被听见、被看见。如果你也想为一位亲人建立档案，可以从一段 30 秒口述和三张照片开始。,念念引导员出镜 | 控制台录屏 | 功能要点字幕 | 合规片尾,进入官网创建第一位亲人档案,AI 数字人讲解内容,主页访问 / 表单留资 / 控制台点击,https://eterna-niannian.cloud?utm_source=digital_human&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=DH-01
DH-02,digital_human,2026-06-17,script_ready,数字人运营,数字人讲解短视频,30 秒作业：上传三张最能代表 TA 的照片,30 秒作业：上传三张最能代表 TA 的照片，用 60 秒讲清楚。,大家好，我是念念引导员。今天用一段很短的演示讲清楚：30 秒作业：上传三张最能代表 TA 的照片。念念会在获得授权后，把语音、照片、视频和回忆整理成数字家人控制台。请记住，这不是复活，也不是替代本人，而是让值得被保存的爱继续被听见、被看见。如果你也想为一位亲人建立档案，可以从一段 30 秒口述和三张照片开始。,念念引导员出镜 | 控制台录屏 | 功能要点字幕 | 合规片尾,进入官网创建第一位亲人档案,AI 数字人讲解内容,主页访问 / 表单留资 / 控制台点击,https://eterna-niannian.cloud?utm_source=digital_human&utm_medium=social&utm_campaign=eterna_launch_202606&utm_content=DH-02
